Station_ID,IOOS_Regional_Association,Network,creator_country,creator_email,creator_institution,creator_name,creator_sector,creator_type,creator_url,platform_name
KBCH,AOOS,UAF,United States of America,rapotter@alaska.edu,University of Alaska Fairbanks,"College of Fisheries and Ocean Sciences, University of Alaska Fairbanks",academic,group,https://research.cfos.uaf.edu/hfradar/,"Kalifornsky Beach, Kenai, AK (KBCH) HF-radar station"
PBRW,AOOS,UAF,United States of America,rapotter@alaska.edu,University of Alaska Fairbanks,"College of Fisheries and Ocean Sciences, University of Alaska Fairbanks",academic,group,https://research.cfos.uaf.edu/hfradar/,"Point Barrow, AK (PBRW) HF-radar station"
SDPD,AOOS,UAF,United States of America,rapotter@alaska.edu,University of Alaska Fairbanks,"College of Fisheries and Ocean Sciences, University of Alaska Fairbanks",academic,group,https://research.cfos.uaf.edu/hfradar/,"Susan Dionne Pad, Ninilchik, AK (SDPD) HF-radar station"
WAIN,AOOS,UAF,United States of America,rapotter@alaska.edu,University of Alaska Fairbanks,"College of Fisheries and Ocean Sciences, University of Alaska Fairbanks",academic,group,https://research.cfos.uaf.edu/hfradar/,"Wainwright, AK (WAIN) HF-radar station"
CDDO,CariCOOS,UPR,United States of America,patricia.chardon@upr.edu,University of Puerto Rico,Caribbean Coastal Ocean Observing System,academic,institution,https://www.caricoos.org/hf-radar,"Cabo Rojo, Puerto Rico (CDDO) HF-radar station"
FARO,CariCOOS,UPR,United States of America,patricia.chardon@upr.edu,University of Puerto Rico,Caribbean Coastal Ocean Observing System,academic,institution,https://www.caricoos.org/hf-radar,"Cabo Rojo Lighthouse at Cabo Rojo, Puerto Rico (FARO) HF-radar station"
FRDO,CariCOOS,UPR,United States of America,patricia.chardon@upr.edu,University of Puerto Rico,Caribbean Coastal Ocean Observing System,academic,institution,https://www.caricoos.org/hf-radar,"Reserva Natural Cabezas de San Juan, Fajardo (FRDO) HF-radar station"
FURA,CariCOOS,UPR,United States of America,patricia.chardon@upr.edu,University of Puerto Rico,Caribbean Coastal Ocean Observing System,academic,institution,https://www.caricoos.org/hf-radar,"Anasco, Puerto Rico (FURA) HF-radar station"
MABO,CariCOOS,UPR,United States of America,patricia.chardon@upr.edu,University of Puerto Rico,Caribbean Coastal Ocean Observing System,academic,institution,https://www.caricoos.org/hf-radar,"Punta Tuna Lighthouse, Maunabo, Puerto Rico (MABO) HF-radar station"
PYFC,CariCOOS,UPR,United States of America,patricia.chardon@upr.edu,University of Puerto Rico,Caribbean Coastal Ocean Observing System,academic,institution,https://www.caricoos.org/hf-radar,"Ponce Yacht and Fishing Club at Ponce, Puerto Rico (PYFC) HF-radar station"
SBAY,CariCOOS,UPR,United States of America,patricia.chardon@upr.edu,University of Puerto Rico,Caribbean Coastal Ocean Observing System,academic,institution,https://www.caricoos.org/hf-radar,"Club de Pesca Rec Isla de Cabras, San Juan Bay (SBAY) HF-radar station"
THOM,CariCOOS,UPR,United States of America,patricia.chardon@upr.edu,University of Puerto Rico,Caribbean Coastal Ocean Observing System,academic,institution,https://www.caricoos.org/hf-radar,"St. Thomas, USVI (THOM) HF-radar station"
BML1,CeNCOOS,BML,United States of America,ucdbml@ucdavis.edu,"University of California, Davis","Bodega Marine Laboratory, Coastal and Marine Sciences Institute, University of California, Davis",academic,group,https://boon.ucdavis.edu/obs/hfr,"Bodega Marine Laboratory, CA (BML1) HF-radar station"
BMLR,CeNCOOS,BML,United States of America,ucdbml@ucdavis.edu,"University of California, Davis","Bodega Marine Laboratory, Coastal and Marine Sciences Institute, University of California, Davis",academic,group,https://boon.ucdavis.edu/obs/hfr,Bodega Marine Laboratory Long Range (BMLR) HF-radar station
BRAG,CeNCOOS,BML,United States of America,ucdbml@ucdavis.edu,"University of California, Davis","Bodega Marine Laboratory, Coastal and Marine Sciences Institute, University of California, Davis",academic,group,https://boon.ucdavis.edu/obs/hfr,"Fort Bragg, CA (BRAG) HF-radar station"
GCVE,CeNCOOS,BML,United States of America,ucdbml@ucdavis.edu,"University of California, Davis","Bodega Marine Laboratory, Coastal and Marine Sciences Institute, University of California, Davis",academic,group,https://boon.ucdavis.edu/obs/hfr,"Gerstle Cove, Salt Point State Park, Sonoma County, CA (GCVE) HF-radar station"
